DateOfIssuance,PointofOrigin,CountryCodeOfIssue,CouponNumber] ,CurrentCouponStatus,BookingClass,SoldBookingClass,SoldOperatingCabinClass,TripOD,OnlineOD,Sector,DepartureDate,DaysBeforeMonthEnd,OperatingCarrierCode,OperatingFlightNumber,DepartureDateTime,ArrivalDateTime,OperatingCabinClass,TripOD_DepartureDate,TripOD_Path,TripOD_Coupons,TripOD_FlightSequence,TripOD_CouponStatus,TripOD_OperatingCabinClass,TripOD_BookingClass,OnlineOD_DepartureDate,OnlineOD_Path,OnlineOD_Coupons,OnlineOD_FlightSequence,OnlineOD_CouponStatus,OnlineOD_OperatingCabinClass,OnlineOD_BookingClass,is_nonstop,PaxCount,NetRevenue,NetFare,Group/Individual,Age,Gender,Unique Identifier,Channel
10/5/27,PH,PH,17787,Ticketed,B,B,Economy,MNLYVR,MNLYVR,MNLYVR,11/27/27,4,PR,PR116,11/27/27 05:15:00,18:30:00,Economy/B,11/27/27 05:15:00,MNLYVR,17787,PR116,Ticketed,Economy/B,B,11/27/27 05:15:00,MNLYVR,17787,PR116,Ticketed,Economy/B,B,1,1,1176$,1031$,Individual,39,Male,11,OTA
8/27/26,PH,PH,17595,Ticketed,O,O,Economy,MNLKIX,MNLKIX,MNLKIX,11/28/26,7,PR,PR412,11/28/26 22:30:00,11/29/26 01:00:00,Economy/O,11/28/26 22:30:00,MNLKIX,17595,PR412,Ticketed,Economy/O,O,11/28/26 22:30:00,MNLKIX,17595,PR412,Ticketed,Economy/O,O,1,1,523$,479$,Individual,57,Male,12,Call Center
10/13/25,PH,PH,17005,Flown,L,L,Economy,MNLNRT,MNLNRT,MNLNRT,12/23/25,19,PR,PR428,12/23/25 08:15:00,12:00:00,Economy/L,12/23/25 08:15:00,MNLNRT,17005,PR428,Flown,Economy/L,L,12/23/25 08:15:00,MNLNRT,17005,PR428,Flown,Economy/L,L,1,1,195$,182$,Individual,27,Male,13,Mobile App
11/14/24,PH,PH,16748,Flown,J,J,Business,ILONRT,ILONRT,MNLNRT,2/3/25,25,PR,PR428,2/3/25 01:15:00,05:30:00,Business/J,2/3/25 01:15:00,ILOMNLNRT,16748,2P2836-PR428,Flown,Business/J,J,2/3/25 01:15:00,ILOMNLNRT,16748,2P2836-PR428,Flown,Business/J,J,0,1,1772$,1515$,Individual,25,Male,14,Website
3/27/27,KR,PH,17627,Ticketed,B,B,Economy,ICNMNL,ICNMNL,ICNMNL,7/14/27,5,PR,PR467,7/14/27 18:45:00,23:15:00,Economy/B,7/14/27 18:45:00,ICNMNL,17627,PR467,Ticketed,Economy/B,B,7/14/27 18:45:00,ICNMNL,17627,PR467,Ticketed,Economy/B,B,1,1,333$,305$,Group,53,Male,15,Mobile App
9/29/26,PH,PH,17555,Ticketed,H,H,Economy,MNLHNL,MNLHNL,MNLHNL,11/22/26,1,PR,PR100,11/22/26 04:15:00,13:30:00,Economy/H,11/22/26 04:15:00,MNLHNL,17555,PR100,Ticketed,Economy/H,H,11/22/26 04:15:00,MNLHNL,17555,PR100,Ticketed,Economy/H,H,1,1,809$,734$,Group,21,Male,16,Website
5/4/26,PH,PH,17675,Ticketed,S,S,Economy,MNLYOW,MNLYZJ,MNLYZJ,8/20/26,4,PR,PR118,8/20/26 08:15:00,23:00:00,Economy/S,8/20/26 08:15:00,MNLYZJYOW,17675,PR118-WS362,Ticketed,Economy/S,S,8/20/26 08:15:00,MNLYZJ,17675,PR118,Ticketed,Economy/S,S,1,1,985$,850$,Group,45,Female,17,GDS
3/12/27,PH,PH,17826,Ticketed,V,V,Economy,MNLYYC,MNLYVR,MNLYVR,6/9/27,20,PR,PR116,6/9/27 15:15:00,6/10/27 06:00:00,Economy/V,6/9/27 15:15:00,MNLYVRYYC,17826,PR116-WS124,Ticketed,Economy/V,V,6/9/27 15:15:00,MNLYVR,17826,PR116,Ticketed,Economy/V,V,1,1,1216$,1071$,Individual,22,Female,18,Website
6/13/26,PH,PH,17971,Unticketed,W,W,Premium Economy,MNLLAX,MNLLAX,MNLLAX,9/12/26,27,PR,PR102,9/12/26 05:45:00,18:45:00,Premium Economy/W,9/12/26 05:45:00,MNLLAX,17971,PR102,Unticketed,Premium Economy/W,W,9/12/26 05:45:00,MNLLAX,17971,PR102,Unticketed,Premium Economy/W,W,1,1,1832$,1714$,Individual,36,Female,19,OTA
12/1/26,PH,PH,17983,Ticketed,L,L,Economy,MNLUSM,MNLBKK,MNLBKK,12/20/26,29,PR,PR730,12/20/26 05:30:00,09:15:00,Economy/L,12/20/26 05:30:00,MNLBKKUSM,17983,PR730-PG145,Ticketed,Economy/L,L,12/20/26 05:30:00,MNLBKK,17983,PR730,Ticketed,Economy/L,L,1,1,208$,190$,Individual,22,Female,20,Website
5/1/26,PH,PH,17777,Ticketed,K,K,Economy,MNLKIX,MNLKIX,MNLKIX,8/17/26,5,PR,PR412,8/17/26 10:15:00,13:15:00,Economy/K,8/17/26 10:15:00,MNLKIX,17777,PR412,Ticketed,Economy/K,K,8/17/26 10:15:00,MNLKIX,17777,PR412,Ticketed,Economy/K,K,1,1,317$,284$,Individual,37,Male,21,OTA
12/22/25,PH,PH,16902,Flown,N,N,Premium Economy,MNLLAS,MNLLAX,MNLLAX,2/18/26,19,PR,PR102,2/18/26 05:15:00,21:15:00,Premium Economy/N,2/18/26 05:15:00,MNLLAXLAS,16902,PR102-AA412,Flown,Premium Economy/N,N,2/18/26 05:15:00,MNLLAX,16902,PR102,Flown,Premium Economy/N,N,1,1,2481$,2333$,Group,23,Male,22,Website
9/14/24,PH,PH,16945,Ticketed,X,X,Economy,MNLBKK,MNLBKK,MNLBKK,2/22/25,3,PR,PR730,2/22/25 22:30:00,2/23/25 02:00:00,Economy/X,2/22/25 22:30:00,MNLBKK,16945,PR730,Ticketed,Economy/X,X,2/22/25 22:30:00,MNLBKK,16945,PR730,Ticketed,Economy/X,X,1,1,380$,342$,Individual,25,Male,23,GDS
7/28/27,PH,PH,17673,Ticketed,M,M,Economy,MNLICN,MNLICN,MNLICN,10/27/27,4,PR,PR468,10/27/27 13:45:00,18:15:00,Economy/M,10/27/27 13:45:00,MNLICN,17673,PR468,Ticketed,Economy/M,M,10/27/27 13:45:00,MNLICN,17673,PR468,Ticketed,Economy/M,M,1,1,298$,270$,Group,44,Male,24,Website
12/15/26,PH,PH,17498,Ticketed,D,D,Business,CEBYYC,CEBYVR,MNLYVR,1/9/27,22,PR,PR116,1/9/27 22:30:00,1/10/27 15:15:00,Business/D,1/9/27 22:30:00,CEBMNLYVRYYC,17498,2P2812-PR116-WS124,Ticketed,Business/D,D,1/9/27 22:30:00,CEBMNLYVR,17498,2P2812-PR116,Ticketed,Business/D,D,0,1,6776$,5959$,Individual,45,Female,25,Website
3/3/27,PH,PH,18097,Unticketed,U,U,Economy,MNLYVR,MNLYVR,MNLYVR,6/3/27,27,PR,PR116,6/3/27 08:15:00,20:45:00,Economy/U,6/3/27 08:15:00,MNLYVR,18097,PR116,Unticketed,Economy/U,U,6/3/27 08:15:00,MNLYVR,18097,PR116,Unticketed,Economy/U,U,1,1,782$,717$,Group,34,Female,26,GDS
12/13/27,PH,PH,17841,Ticketed,L,L,Economy,ILONRT,ILONRT,ILOMNL,12/18/27,15,2P,2P2836,12/18/27 18:45:00,21:45:00,Economy/L,12/18/27 18:45:00,ILOMNLNRT,17841,2P2836-PR428,Ticketed,Economy/L,L,12/18/27 18:45:00,ILOMNLNRT,17841,2P2836-PR428,Ticketed,Economy/L,L,0,1,210$,192$,Group,45,Male,27,Website
12/28/25,PH,PH,16557,Flown,E,E,Economy,CEBORD,CEBSFO,CEBMNL,5/3/26,8,2P,2P2812,5/3/26 18:00:00,5/4/26 05:30:00,Economy/E,5/3/26 18:00:00,CEBMNLSFOORD,16557,2P2812-PR104-AA1255,Flown,Economy/E,E,5/3/26 18:00:00,CEBMNLSFO,16557,2P2812-PR104,Flown,Economy/E,E,0,1,973$,899$,Group,43,Female,28,OTA
4/24/27,PH,PH,17484,Ticketed,M,M,Economy,MNLHKG,MNLHKG,MNLHKG,5/12/27,12,PR,PR300,5/12/27 08:45:00,11:45:00,Economy/M,5/12/27 08:45:00,MNLHKG,17484,PR300,Ticketed,Economy/M,M,5/12/27 08:45:00,MNLHKG,17484,PR300,Ticketed,Economy/M,M,1,1,250$,219$,Individual,47,Female,29,Mobile App
1/14/27,PH,PH,17444,Ticketed,L,L,Economy,MNLLAX,MNLLAX,MNLLAX,3/10/27,26,PR,PR102,3/10/27 08:45:00,3/11/27 01:15:00,Economy/L,3/10/27 08:45:00,MNLLAX,17444,PR102,Ticketed,Economy/L,L,3/10/27 08:45:00,MNLLAX,17444,PR102,Ticketed,Economy/L,L,1,1,1105$,1034$,Individual,25,Male,30,Website
3/4/25,PH,PH,17253,Flown,W,W,Premium Economy,CEBNRT,CEBNRT,CEBNRT,7/20/25,7,PR,PR434,7/20/25 18:00:00,22:45:00,Premium Economy/W,7/20/25 18:00:00,CEBNRT,17253,PR434,Flown,Premium Economy/W,W,7/20/25 18:00:00,CEBNRT,17253,PR434,Flown,Premium Economy/W,W,1,1,706$,651$,Group,49,Male,31,OTA
12/27/26,PH,PH,17662,Ticketed,M,M,Economy,MNLYYC,MNLYVR,MNLYVR,1/14/27,28,PR,PR116,1/14/27 10:45:00,22:15:00,Economy/M,1/14/27 10:45:00,MNLYVRYYC,17662,PR116-WS124,Ticketed,Economy/M,M,1/14/27 10:45:00,MNLYVR,17662,PR116,Ticketed,Economy/M,M,1,1,1521$,1379$,Group,38,Male,32,Mobile App
8/19/27,PH,PH,17900,Ticketed,M,M,Economy,MNLPEN,MNLKUL,MNLKUL,9/2/27,20,PR,PR525,9/2/27 10:45:00,13:45:00,Economy/M,9/2/27 10:45:00,MNLKULPEN,17900,PR525-MH1140,Ticketed,Economy/M,M,9/2/27 10:45:00,MNLKUL,17900,PR525,Ticketed,Economy/M,M,1,1,455$,410$,Individual,41,Female,33,OTA
6/2/25,PH,PH,16812,Flown,N,N,Premium Economy,BCDSIN,BCDSIN,MNLSIN,11/5/25,10,PR,PR507,11/5/25 20:15:00,11/6/25 01:00:00,Premium Economy/N,11/5/25 20:15:00,BCDMNLSIN,16812,2P2842-PR507,Flown,Premium Economy/N,N,11/5/25 20:15:00,BCDMNLSIN,16812,2P2842-PR507,Flown,Premium Economy/N,N,0,1,579$,522$,Individual,49,Female,34,Website
11/15/25,PH,PH,17179,Flown,J,J,Business,MNLPEN,MNLKUL,MNLKUL,3/12/26,13,PR,PR525,3/12/26 20:45:00,3/13/26 01:30:00,Business/J,3/12/26 20:45:00,MNLKULPEN,17179,PR525-MH1140,Flown,Business/J,J,3/12/26 20:45:00,MNLKUL,17179,PR525,Flown,Business/J,J,1,1,1529$,1427$,Group,61,Female,35,Mobile App
11/12/24,PH,PH,16888,Flown,L,L,Economy,MNLMCO,MNLJFK,MNLJFK,1/27/25,24,PR,PR126,1/27/25 10:45:00,1/28/25 01:30:00,Economy/L,1/27/25 10:45:00,MNLJFKMCO,16888,PR126-B6181,Flown,Economy/L,L,1/27/25 10:45:00,MNLJFK,16888,PR126,Flown,Economy/L,L,1,1,769$,686$,Individual,34,Male,36,GDS
6/2/27,PH,PH,17732,Ticketed,J,J,Business,MNLDFW,MNLLAX,MNLLAX,11/25/27,28,PR,PR102,11/25/27 20:00:00,11/26/27 08:45:00,Business/J,11/25/27 20:00:00,MNLLAXDFW,17732,PR102-AA2341,Ticketed,Business/J,J,11/25/27 20:00:00,MNLLAX,17732,PR102,Ticketed,Business/J,J,1,1,4191$,3702$,Individual,65,Female,37,Website
6/20/27,PH,PH,17998,Unticketed,V,V,Economy,MNLHNL,MNLHNL,MNLHNL,11/5/27,10,PR,PR100,11/5/27 18:15:00,11/6/27 03:15:00,Economy/V,11/5/27 18:15:00,MNLHNL,17998,PR100,Unticketed,Economy/V,V,11/5/27 18:15:00,MNLHNL,17998,PR100,Unticketed,Economy/V,V,1,1,766$,693$,Individual,5,Male,38,GDS
7/12/26,PH,PH,17905,Ticketed,B,B,Economy,MNLYYC,MNLYVR,MNLYVR,10/7/26,14,PR,PR116,10/7/26 22:30:00,10/8/26 11:15:00,Economy/B,10/7/26 22:30:00,MNLYVRYYC,17905,PR116-WS124,Ticketed,Economy/B,B,10/7/26 22:30:00,MNLYVR,17905,PR116,Ticketed,Economy/B,B,1,1,772$,699$,Group,55,Female,39,Website
6/19/27,PH,PH,17379,Ticketed,S,S,Economy,MNLYOW,MNLYZJ,MNLYZJ,9/5/27,13,PR,PR118,9/5/27 04:00:00,19:30:00,Economy/S,9/5/27 04:00:00,MNLYZJYOW,17379,PR118-WS362,Ticketed,Economy/S,S,9/5/27 04:00:00,MNLYZJ,17379,PR118,Ticketed,Economy/S,S,1,1,1587$,1392$,Individual,35,Female,40,Call Center
8/23/25,PH,PH,17143,Flown,U,U,Economy,MNLCTS,MNLHND,MNLHND,11/12/25,16,PR,PR422,11/12/25 01:30:00,04:30:00,Economy/U,11/12/25 01:30:00,MNLHNDCTS,17143,PR422-NH51,Flown,Economy/U,U,11/12/25 01:30:00,MNLHND,17143,PR422,Flown,Economy/U,U,1,1,328$,301$,Individual,56,Female,41,Ticket Office
11/15/25,PH,PH,17174,Flown,J,J,Business,MNLPEN,MNLKUL,MNLKUL,3/12/26,13,PR,PR525,3/12/26 20:45:00,3/13/26 01:30:00,Business/J,3/12/26 20:45:00,MNLKULPEN,17174,PR525-MH1140,Flown,Business/J,J,3/12/26 20:45:00,MNLKUL,17174,PR525,Flown,Business/J,J,1,1,1529$,1427$,Group,42,Male,42,Mobile App
11/1/26,PH,PH,17445,Ticketed,V,V,Economy,MNLKIX,MNLKIX,MNLKIX,2/2/27,10,PR,PR412,2/2/27 01:00:00,03:15:00,Economy/V,2/2/27 01:00:00,MNLKIX,17445,PR412,Ticketed,Economy/V,V,2/2/27 01:00:00,MNLKIX,17445,PR412,Ticketed,Economy/V,V,1,1,288$,269$,Individual,50,Male,43,Website
5/24/26,PH,PH,17878,Ticketed,K,K,Economy,DVOSFO,DVOSFO,MNLSFO,10/20/26,27,PR,PR104,10/20/26 13:30:00,10/21/26 06:15:00,Economy/K,10/20/26 13:30:00,DVOMNLSFO,17878,2P2814-PR104,Ticketed,Economy/K,K,10/20/26 13:30:00,DVOMNLSFO,17878,2P2814-PR104,Ticketed,Economy/K,K,0,1,861$,824$,Individual,28,Female,44,Ticket Office
5/28/25,PH,PH,16731,Flown,L,L,Economy,DVOLAX,DVOLAX,MNLLAX,7/29/25,15,PR,PR102,7/29/25 20:30:00,7/30/25 10:15:00,Economy/L,7/29/25 20:30:00,DVOMNLLAX,16731,2P2814-PR102,Flown,Economy/L,L,7/29/25 20:30:00,DVOMNLLAX,16731,2P2814-PR102,Flown,Economy/L,L,0,1,1101$,1017$,Group,26,Female,45,Website
5/29/26,PH,PH,17922,Ticketed,B,B,Economy,MNLLAS,MNLLAX,MNLLAX,8/10/26,30,PR,PR102,8/10/26 20:45:00,8/11/26 09:30:00,Economy/B,8/10/26 20:45:00,MNLLAXLAS,17922,PR102-AA412,Ticketed,Economy/B,B,8/10/26 20:45:00,MNLLAX,17922,PR102,Ticketed,Economy/B,B,1,1,1270$,1200$,Individual,50,Male,46,OTA
9/13/25,PH,PH,17224,Flown,X,X,Economy,MNLYOW,MNLYZJ,MNLYZJ,3/6/26,8,PR,PR118,3/6/26 13:15:00,3/7/26 00:45:00,Economy/X,3/6/26 13:15:00,MNLYZJYOW,17224,PR118-WS362,Flown,Economy/X,X,3/6/26 13:15:00,MNLYZJ,17224,PR118,Flown,Economy/X,X,1,1,804$,750$,Group,23,Female,47,Mobile App
2/19/25,PH,PH,17056,Flown,S,S,Economy,MNLBKK,MNLBKK,MNLBKK,4/20/25,1,PR,PR730,4/20/25 13:30:00,16:45:00,Economy/S,4/20/25 13:30:00,MNLBKK,17056,PR730,Flown,Economy/S,S,4/20/25 13:30:00,MNLBKK,17056,PR730,Flown,Economy/S,S,1,1,406$,373$,Group,42,Female,48,Website
1/24/26,PH,PH,16612,Flown,U,U,Economy,MNLFUK,MNLHND,MNLHND,5/18/26,3,PR,PR422,5/18/26 04:00:00,07:15:00,Economy/U,5/18/26 04:00:00,MNLHNDFUK,16612,PR422-NH243,Flown,Economy/U,U,5/18/26 04:00:00,MNLHND,16612,PR422,Flown,Economy/U,U,1,1,263$,244$,Group,33,Female,49,OTA
10/10/27,PH,PH,17480,Ticketed,L,L,Economy,MNLDXB,MNLDXB,MNLDXB,11/30/27,8,PR,PR658,11/30/27 04:45:00,12:00:00,Economy/L,11/30/27 04:45:00,MNLDXB,17480,PR658,Ticketed,Economy/L,L,11/30/27 04:45:00,MNLDXB,17480,PR658,Ticketed,Economy/L,L,1,1,678$,599$,Group,58,Female,50,Website
11/15/25,PH,PH,17182,Flown,J,J,Business,MNLPEN,MNLKUL,MNLKUL,3/12/26,13,PR,PR525,3/12/26 20:45:00,3/13/26 01:30:00,Business/J,3/12/26 20:45:00,MNLKULPEN,17182,PR525-MH1140,Flown,Business/J,J,3/12/26 20:45:00,MNLKUL,17182,PR525,Flown,Business/J,J,1,1,1529$,1427$,Group,39,Male,51,Mobile App
6/22/27,PH,PH,17678,Ticketed,H,H,Economy,MNLMCO,MNLJFK,MNLJFK,10/1/27,5,PR,PR126,10/1/27 08:45:00,20:30:00,Economy/H,10/1/27 08:45:00,MNLJFKMCO,17678,PR126-B6181,Ticketed,Economy/H,H,10/1/27 08:45:00,MNLJFK,17678,PR126,Ticketed,Economy/H,H,1,1,1424$,1301$,Individual,52,Female,52,OTA
3/9/25,PH,PH,17110,Flown,Y,Y,Economy,MNLICN,MNLICN,MNLICN,5/30/25,24,PR,PR468,5/30/25 15:45:00,19:30:00,Economy/Y,5/30/25 15:45:00,MNLICN,17110,PR468,Flown,Economy/Y,Y,5/30/25 15:45:00,MNLICN,17110,PR468,Flown,Economy/Y,Y,1,1,339$,320$,Individual,25,Male,53,Website
8/30/26,PH,PH,17995,Ticketed,W,W,Premium Economy,MNLKOA,MNLHNL,MNLHNL,1/10/27,26,PR,PR100,1/10/27 05:15:00,12:15:00,Premium Economy/W,1/10/27 05:15:00,MNLHNLKOA,17995,PR100-HA148,Ticketed,Premium Economy/W,W,1/10/27 05:15:00,MNLHNL,17995,PR100,Ticketed,Premium Economy/W,W,1,1,1060$,1016$,Individual,66,Female,54,Website
6/13/27,PH,PH,17516,Unticketed,M,M,Economy,MNLDCA,MNLJFK,MNLJFK,8/16/27,21,PR,PR126,8/16/27 08:45:00,20:15:00,Economy/M,8/16/27 08:45:00,MNLJKFDCA,17516,PR126-AA2101,Unticketed,Economy/M,M,8/16/27 08:45:00,MNLJFK,17516,PR126,Unticketed,Economy/M,M,1,1,1557$,1373$,Individual,12,Male,55,OTA
1/12/26,PH,PH,16540,Flown,K,K,Economy,CEBORD,CEBSFO,MNLSFO,3/27/26,29,PR,PR104,3/27/26 08:30:00,22:00:00,Economy/K,3/27/26 08:30:00,CEBMNLSFOORD,16540,2P2812-PR104-AA1255,Flown,Economy/K,K,3/27/26 08:30:00,CEBMNLSFO,16540,2P2812-PR104,Flown,Economy/K,K,0,1,839$,791$,Individual,8,Male,56,Website
10/4/25,PH,PH,16657,Ticketed,O,O,Economy,MNLDCA,MNLJFK,MNLJFK,1/1/26,5,PR,PR126,1/1/26 08:00:00,23:30:00,Economy/O,1/1/26 08:00:00,MNLJKFDCA,16657,PR126-AA2101,Ticketed,Economy/O,O,1/1/26 08:00:00,MNLJFK,16657,PR126,Ticketed,Economy/O,O,1,1,757$,695$,Group,49,Male,57,Website
7/5/26,PH,PH,17606,Ticketed,K,K,Economy,MNLSFO,MNLSFO,MNLSFO,11/27/26,16,PR,PR104,11/27/26 01:15:00,18:00:00,Economy/K,11/27/26 01:15:00,MNLSFO,17606,PR104,Ticketed,Economy/K,K,11/27/26 01:15:00,MNLSFO,17606,PR104,Ticketed,Economy/K,K,1,1,1505$,1351$,Individual,45,Male,58,Mobile App
7/5/26,PH,PH,17812,Ticketed,C,C,Business,MNLCTS,MNLHND,MNLHND,11/25/26,29,PR,PR422,11/25/26 08:30:00,11:00:00,Business/C,11/25/26 08:30:00,MNLHNDCTS,17812,PR422-NH51,Ticketed,Business/C,C,11/25/26 08:30:00,MNLHND,17812,PR422,Ticketed,Business/C,C,1,1,1559$,1389$,Individual,59,Male,59,OTA
12/21/25,PH,PH,17131,Flown,O,O,Economy,CEBYYC,CEBYVR,MNLYVR,5/21/26,3,PR,PR116,5/21/26 18:45:00,5/22/26 09:30:00,Economy/O,5/21/26 18:45:00,CEBMNLYVRYYC,17131,2P2812-PR116-WS124,Flown,Economy/O,O,5/21/26 18:45:00,CEBMNLYVR,17131,2P2812-PR116,Flown,Economy/O,O,0,1,704$,656$,Group,18,Male,60,Mobile App
4/28/26,PH,PH,17747,Unticketed,Q,Q,Economy,MNLOGG,MNLHNL,MNLHNL,8/14/26,26,PR,PR100,8/14/26 04:15:00,13:45:00,Economy/Q,8/14/26 04:15:00,MNLHNLOGG,17747,PR100-HA208,Unticketed,Economy/Q,Q,8/14/26 04:15:00,MNLHNL,17747,PR100,Unticketed,Economy/Q,Q,1,1,643$,574$,Individual,27,Female,61,Website
12/19/26,PH,PH,18006,Ticketed,U,U,Economy,DVOSFO,DVOSFO,MNLSFO,4/30/27,11,PR,PR104,4/30/27 13:30:00,5/1/27 02:00:00,Economy/U,4/30/27 13:30:00,DVOMNLSFO,18006,2P2814-PR104,Ticketed,Economy/U,U,4/30/27 13:30:00,DVOMNLSFO,18006,2P2814-PR104,Ticketed,Economy/U,U,0,1,1319$,1149$,Individual,48,Male,62,Mobile App
5/29/27,PH,PH,17532,Unticketed,K,K,Economy,ILONRT,ILONRT,MNLNRT,11/17/27,3,PR,PR428,11/17/27 04:15:00,09:00:00,Economy/K,11/17/27 04:15:00,ILOMNLNRT,17532,2P2836-PR428,Unticketed,Economy/K,K,11/17/27 04:15:00,ILOMNLNRT,17532,2P2836-PR428,Unticketed,Economy/K,K,0,1,406$,350$,Individual,63,Male,63,GDS
7/8/25,PH,PH,17135,Flown,T,T,Economy,CEBYYC,CEBYVR,MNLYVR,8/27/25,21,PR,PR116,8/27/25 01:00:00,12:45:00,Economy/T,8/27/25 01:00:00,CEBMNLYVRYYC,17135,2P2812-PR116-WS124,Flown,Economy/T,T,8/27/25 01:00:00,CEBMNLYVR,17135,2P2812-PR116,Flown,Economy/T,T,0,1,992$,862$,Individual,30,Female,64,GDS
11/6/26,PH,PH,17899,Ticketed,B,B,Economy,MNLYUL,MNLYVR,MNLYVR,1/18/27,2,PR,PR116,1/18/27 10:45:00,1/19/27 03:30:00,Economy/B,1/18/27 10:45:00,MNLYVRYUL,17899,PR116-WS542,Ticketed,Economy/B,B,1/18/27 10:45:00,MNLYVR,17899,PR116,Ticketed,Economy/B,B,1,1,1076$,917$,Group,64,Male,65,Mobile App
